Current Age,Retired Age,Annual Income,Annual Spending,Investment Risk
22,67,165197,311918,medium
43,75,504866,189769,medium
49,63,879795,183358,medium
35,70,745091,311899,high
28,68,741914,525526,medium
24,67,732990,377974,high
18,64,618343,138348,high
32,73,380511,87888,medium
20,74,917658,89932,medium
39,71,677530,461428,medium
30,70,328041,238078,medium
49,66,665823,426675,medium
23,61,448278,461516,low
44,71,814966,115134,high
49,70,647903,528145,medium
48,75,87326,58409,high
28,66,542482,386980,low
29,69,502860,422950,medium
19,62,152201,448583,medium
25,62,230007,381029,high
39,72,896923,575607,high
45,73,671600,40406,low
50,70,757131,482717,low
50,67,259706,548123,low
35,67,945910,73492,low
18,68,122200,393099,medium
22,63,529194,563820,low
21,61,531646,155183,low
44,62,87487,97173,low
19,67,657409,112751,medium
31,61,401721,471884,low
24,74,258789,197531,high
35,67,983432,124764,low
40,67,260097,154021,low
22,70,407558,392192,medium
20,70,711351,135498,medium
26,66,354341,434815,low
43,66,354946,281924,medium
40,65,671063,102260,medium
31,65,239951,594626,high
24,70,711151,410345,low
30,68,950616,279172,medium
28,72,634563,220175,medium
48,74,852691,575238,low
19,72,863449,506432,low
32,71,725976,30617,high
34,73,988449,22083,low
31,63,335774,27209,medium
43,69,418859,60494,low
30,63,237700,191280,high
42,61,771675,176664,high
42,67,211382,213558,medium
45,73,163516,393784,medium
34,62,609687,394028,medium
33,73,940362,10183,low
37,69,29195,73755,low
18,63,137709,217072,high
42,65,205103,119374,high
40,62,251921,391521,medium
48,73,416524,409827,medium
26,69,874865,454568,low
29,69,217877,341154,medium
36,63,867812,36673,high
28,68,321280,106945,low
40,68,500470,487735,high
37,62,620867,325676,medium
41,73,696743,138175,medium
49,60,89281,361587,high
44,63,157104,95040,low
37,66,928550,308262,high
37,70,915328,286952,high
45,60,129833,551241,high
18,74,270654,468281,low
34,67,880756,247224,high
30,65,832965,190982,low
33,67,604751,420844,high
28,65,728412,17845,low
19,74,522829,29840,high
29,70,249592,201136,medium
20,68,503264,206705,medium
41,64,445363,435610,low
40,73,856151,133160,medium
24,70,221395,375725,low
21,66,911370,58405,medium
46,70,782797,374901,medium
21,63,657023,381546,low
29,69,471222,240909,medium
35,68,420315,591815,medium
41,75,838125,377353,medium
31,62,766004,211792,high
50,73,859232,112532,high
22,67,578503,259617,low
47,72,425563,98527,low
41,73,605701,14521,low
23,66,794861,461785,medium
24,74,76885,507613,high
26,60,622124,321341,low
20,61,271706,192956,high
43,71,341678,184313,high
27,72,92344,576341,medium
18,63,632307,249896,low
50,62,936410,495543,high
38,74,944126,418909,high
46,66,406417,84417,medium
19,71,529921,258429,medium
28,68,447300,525069,medium
35,75,850665,56787,high
22,71,60386,45355,low
38,67,972707,35926,medium
20,71,963919,327792,medium
27,62,870509,264060,low
44,74,529675,27292,high
35,61,300217,430721,medium
41,67,290989,381997,low
45,61,153558,508401,medium
47,64,759895,186057,medium
33,66,448139,130925,high
44,75,383295,286247,low
27,60,502721,452863,low
19,65,821698,338209,high
42,67,446025,180085,medium
18,65,125931,221597,high
21,68,357721,347392,low
27,68,682853,371003,medium
48,63,649424,490112,low
45,61,613110,511939,medium
26,69,44891,339793,low
19,72,878797,171275,low
45,68,866252,193760,low
26,66,538825,166782,medium
34,65,448858,143687,low
26,67,681657,387642,low
49,61,485056,111025,high
42,75,450639,460139,high
36,69,643431,403528,medium
18,65,919606,15055,low
47,73,262841,82481,low
43,75,801473,147471,high
35,70,632290,181466,low
48,69,161059,69211,high
24,70,274207,393870,medium
24,62,979321,459103,high
27,74,569863,206210,low
44,71,771828,99541,low
34,60,815965,101245,high
31,73,671247,80082,medium
40,64,938291,465052,high
30,70,758415,531958,medium
49,63,737619,81885,medium
28,67,558580,445928,medium
33,72,284026,372194,low
42,61,475471,216794,high
43,75,120791,60881,high
48,66,522007,48157,low
49,61,913656,589586,high
23,64,210213,32772,medium
46,72,801256,319463,high
32,68,754214,557536,low
31,66,541634,505632,high
33,63,659868,130004,low
31,73,323249,309626,low
36,72,729727,507442,high
30,74,541194,119646,low
44,63,30813,533824,medium
22,72,399464,588453,high
47,68,790926,558793,high
40,69,418346,177528,low
43,64,294996,329332,medium
44,60,653900,390495,high
23,61,800352,576603,low
23,72,283418,303832,high
27,64,272799,22919,low
18,60,386587,429576,medium
44,72,845952,194280,high
48,75,800096,23223,medium
41,74,570830,336611,high
43,66,761391,279657,low
36,67,388732,448089,high
27,70,697415,435828,medium
46,74,434802,560903,low
30,68,978578,137333,medium
39,62,866389,351175,medium
35,62,643742,411150,medium
48,67,115745,563624,low
44,64,120608,164368,medium
49,74,85693,524710,high
31,68,50547,215666,medium
45,70,886241,525562,high
33,73,940890,185382,high
19,65,519117,477486,low
44,67,150214,84698,high
36,62,92418,589948,low
48,67,225528,204361,low
36,73,459341,521039,medium
28,63,680426,186479,medium
45,73,976331,489028,high
36,70,717200,580799,high
34,75,629841,143937,high
23,75,640210,90655,medium
25,68,800261,424735,medium
44,68,782640,483081,medium
30,60,357269,440910,low
30,74,218177,227958,high
48,72,217263,587941,medium
19,65,578617,274768,low
30,73,878981,224565,low
21,73,156178,321336,low
31,70,936407,513556,medium
41,69,522737,32415,high
20,60,665135,144358,high
23,75,193706,309721,high
50,61,976151,118335,low
37,64,122925,360164,medium
28,60,539787,395840,high
33,73,667416,364091,low
34,65,649939,152089,medium
33,68,21052,292205,medium
36,61,212588,357800,low
47,66,92847,14505,high
28,74,59633,76435,medium
27,67,212416,242955,medium
32,68,615416,314634,medium
30,70,626011,122091,high
29,65,96577,417556,high
19,73,775638,142002,low
47,73,957117,198233,medium
38,72,998483,249044,low
27,69,985516,225165,medium
30,64,654300,139331,low
31,69,227887,451784,low
20,66,448360,370447,medium
24,70,186873,373828,high
32,69,913030,368158,low
48,74,952833,566222,high
38,61,790636,515933,low
32,65,827856,348457,high
18,62,606065,356989,medium
32,68,77012,546157,medium
27,70,422703,396402,high
48,65,106041,309700,high
48,66,17978,329078,low
28,64,595546,59927,high
41,65,259104,594200,high
28,67,61637,276053,medium
38,75,953871,338956,medium
37,64,407276,10265,medium
44,69,537212,346683,low
49,72,113924,307755,low
36,67,906694,352167,high
25,70,201056,102480,low
49,69,946461,417763,medium
45,62,641993,273551,medium
21,70,212697,559935,medium
22,75,917867,211648,low
40,64,876838,392018,medium
32,65,564665,504806,low
41,62,668912,31101,low
38,72,974713,504474,low
30,72,312693,380829,low
22,69,188042,440876,low
27,61,38199,403272,high
32,69,164961,244924,high
31,75,509602,340391,medium
21,73,973322,537815,low
32,66,97184,306418,low
44,63,992441,597484,medium
41,75,965869,543458,low
31,63,905670,468384,medium
38,60,871719,135008,low
20,62,771878,51380,high
27,61,412564,405407,medium
32,64,761419,234868,medium
25,65,565956,318121,low
38,66,268643,324377,high
23,71,934578,123888,medium
34,66,868502,66723,medium
28,62,627142,591878,high
19,72,904806,476097,high
26,60,317460,266464,medium
46,68,970951,529729,low
24,64,862920,357563,medium
36,61,941887,417396,high
30,63,825774,97526,low
40,67,642744,516614,low
33,74,724043,252359,high
46,75,167347,19761,high
18,70,23524,447231,low
21,68,637238,192191,medium
38,65,240554,389131,medium
32,75,619979,88660,medium
42,71,664332,298148,low
22,61,472608,153601,high
24,72,948171,539043,high
27,66,31282,186595,medium
39,74,261235,268142,medium
32,75,473266,408220,low
30,61,357740,131813,high
46,64,869718,488129,high
25,65,888197,200626,low
26,60,669038,509929,high
31,61,794136,547125,low
28,73,601738,195179,high
32,70,195161,285032,low
21,71,491008,267752,low
36,62,620011,13505,high
19,64,355252,287068,medium
30,68,945326,351397,low
40,62,373664,475824,high
37,64,602387,184346,low
24,61,361130,351883,medium
40,61,110890,40101,high
40,73,620852,293145,low
50,75,800537,260216,medium
35,71,382278,173992,low
45,67,592389,467787,medium
50,72,948603,90910,low
42,67,126926,67064,medium
26,61,892836,556740,high
41,70,936007,107439,medium
41,67,391304,403325,medium
39,63,658398,129447,medium
41,68,265890,391979,medium
41,65,285606,564627,low
25,74,216155,172463,high
30,69,588627,498252,high
35,70,600098,598649,high
50,62,395189,440959,high
47,69,208822,307965,high
37,70,565628,476809,high
28,72,376202,108961,low
22,72,131274,139133,medium
22,72,769654,236821,low
18,65,914426,222396,medium
47,65,793805,595519,high
29,61,193843,433493,high
46,70,145148,298919,medium
44,60,180662,165113,high
20,73,257650,466060,medium
18,63,589081,177092,high
49,73,825815,592347,low
19,72,506732,458995,low
30,61,96681,507079,low
33,68,134645,207967,low
50,67,535921,346965,medium
18,61,374198,135009,medium
38,61,744765,207960,low
39,63,461412,88284,medium
21,72,638165,97637,high
21,71,54050,261001,low
23,69,913493,325372,medium
20,66,179246,465746,high
39,69,531173,463587,medium
42,70,614759,22430,low
38,64,627229,111733,low
40,61,274615,122011,low
32,70,221817,270638,medium
40,66,218320,10145,medium
34,66,92053,345177,high
41,72,507000,51976,high
30,70,896765,95548,low
31,72,445074,192894,medium
35,72,491882,115515,low
47,63,281608,537223,high
20,74,862305,331065,low
22,64,536732,192466,low
45,68,894702,215092,medium
23,73,450344,485113,low
44,74,554552,547301,medium
25,72,273490,192775,medium
41,66,846876,209043,low
45,70,23918,578185,medium
20,67,227292,369622,medium
48,68,455524,258597,low
24,71,284005,377321,high
37,72,954790,430596,low
32,64,641877,37829,medium
20,66,815841,394749,high
49,70,152140,160801,medium
29,74,617309,97667,low
30,70,681479,315085,medium
32,61,693243,406368,medium
19,70,950399,353659,high
19,64,817391,427873,medium
37,64,553762,302550,medium
46,66,498746,178185,medium
26,69,237775,513683,high
32,61,574446,27214,low
37,69,149290,321631,low
39,61,55096,203686,high
26,67,358458,26391,high
47,72,64864,534587,medium
33,70,26412,411102,low
25,68,524258,346690,high
47,69,65551,57890,medium
22,64,531961,49267,medium
37,67,798569,105095,high
29,71,974454,265582,low
39,70,566486,122899,high
47,68,517650,397865,medium
42,63,398525,383599,high
41,68,450085,283493,low
46,60,109993,57037,high
35,66,181396,527031,low
33,60,743553,405541,high
35,72,668867,166180,low
42,73,339742,354772,high
32,65,619301,236726,low
39,64,453044,516083,low
48,72,73307,18212,high
47,65,795376,54823,low
43,62,842380,544039,high
23,71,781041,374217,high
22,66,588256,319660,medium
40,66,954153,291253,medium
43,72,825512,124172,low
48,68,834722,164881,high
33,63,315877,244705,high
40,64,292279,194301,low
35,66,24860,44055,high
19,65,406996,88517,medium
47,74,435391,65778,low
38,75,397625,223099,low
30,63,53362,381493,medium
39,70,462903,584515,low
46,68,557925,533073,high
29,63,391008,487728,low
30,63,887579,230641,medium
28,74,708216,558684,low
43,65,93074,40991,medium
34,70,783900,529119,high
36,75,787431,149708,medium
43,67,21350,394208,low
21,68,513356,356638,high
47,62,983672,253574,low
43,72,312759,485884,low
37,62,320490,76475,medium
19,64,510825,96683,high
20,69,644941,514402,medium
49,62,509122,573365,medium
42,70,379254,167060,medium
42,68,595982,46004,high
24,74,312952,257906,high
25,67,940968,573787,medium
46,67,66868,199190,high
28,73,327772,533608,low
20,65,158971,442111,high
37,66,920943,520815,high
50,61,87123,143122,low
33,73,799330,581323,high
20,62,168559,471568,high
30,72,867526,453940,high
44,72,280787,291351,high
18,68,859848,124108,high
43,75,253038,560933,high
19,74,873685,327929,low
29,61,742525,568290,low
45,74,779931,397128,high
49,62,872840,106485,high
25,69,426079,238600,high
28,60,286911,159482,high
35,69,257289,390721,medium
45,62,816736,187189,medium
45,67,789496,257007,high
50,64,665898,362674,high
32,75,619656,195363,low
40,61,388574,448315,low
20,60,22557,101576,low
38,63,650982,275179,low
27,67,145479,557962,high
27,65,754484,529372,high
28,70,367590,231338,low
50,68,109977,195452,low
38,70,241219,233075,medium
29,73,717051,400949,high
35,70,905108,207686,high
19,74,778868,39715,low
43,72,261339,533977,high
32,72,891713,20606,high
25,61,493109,410838,medium
27,74,87195,325886,high
48,60,387163,157160,high
18,62,597116,265203,high
32,73,925859,139406,medium
31,65,366956,469249,high
35,73,773842,568254,high
36,66,907149,336640,medium
28,72,991494,230033,high
18,70,268745,383340,medium
25,62,110154,79683,low
46,61,467971,190842,high
36,70,217861,215987,low
30,69,7376,576572,low
30,60,577024,309221,high
47,73,527777,269005,high
41,68,481797,382214,high
39,61,237343,554960,medium
49,63,384365,41200,high
28,64,333563,226272,high
20,62,151592,422739,high
22,64,871855,346212,high
32,70,547588,311088,medium
50,63,23682,46650,high
29,71,507704,384802,medium
41,65,118759,376071,high
49,67,239546,284267,high
39,73,735077,457187,medium
21,65,698208,428956,high
38,66,710915,141389,low
37,72,129790,130677,medium
50,68,922389,48542,medium
45,66,430895,132121,high
46,62,644711,558679,low
32,72,937846,311237,medium
19,72,468211,304539,medium
36,71,773053,567086,medium
33,60,28555,468332,high
46,60,277876,293076,low
28,75,221862,253317,high
40,66,554908,508083,low
41,65,861448,248689,low
40,65,83199,53329,medium
40,72,826042,380228,medium
19,61,447204,569702,medium
22,68,592481,390563,high
33,74,226240,140464,high
20,65,221284,496009,low
36,61,918431,396519,high
37,67,753561,591496,high
25,63,880551,464287,low
29,73,852726,334227,low
24,60,611877,212922,low
50,67,941614,113872,low
32,62,886195,167963,low
19,61,240269,583920,medium
28,65,787071,557962,medium
30,60,345863,448306,low
26,65,654583,224115,low
46,64,540466,250461,medium
21,70,923938,314739,medium
49,70,429839,328587,medium
25,75,825039,181038,medium
47,63,74325,423484,low
22,73,35996,66894,low
46,65,113317,470147,low
44,61,670043,211735,high
38,68,132749,179301,medium
29,65,135020,497193,medium
28,73,86194,191608,high
22,73,981547,125656,low
30,67,66611,33629,low
50,65,368327,324001,high
27,62,749750,499140,low
36,70,125159,209100,high
50,60,743389,351300,low
33,66,430766,411270,high
40,62,90250,187252,high
43,66,926960,263218,high
25,68,214297,245819,medium
37,64,655178,319502,high
50,67,969438,131700,high
28,68,264134,148926,low
41,67,623284,411628,high
27,71,361625,286040,medium
32,60,574833,18911,high
48,65,747405,129932,high
28,60,405889,423279,low
18,62,993841,589398,low
47,69,217844,30486,medium
42,75,374932,475901,high
35,64,340386,148572,medium
33,60,653088,320896,medium
20,74,747777,408711,high
48,68,44275,250451,low
19,70,530090,62580,medium
43,72,862514,466175,high
18,71,154956,516837,medium
19,60,490427,250870,high
50,75,741786,330854,high
34,67,946991,368663,high
29,71,117275,148367,low
37,67,627880,488363,medium
45,66,852985,80633,low
18,61,441828,359036,low
44,75,812730,455929,medium
48,75,988979,308286,low
33,63,67891,479049,low
49,74,680154,107199,medium
28,61,235369,42270,low
39,72,449576,150669,high
43,74,807578,375417,low
19,75,930852,410055,low
31,73,168938,465207,low
29,72,346504,293342,low
22,71,915522,483554,high
20,70,549171,209099,low
20,73,479741,245239,medium
49,62,234561,477137,low
29,65,309558,143371,medium
38,68,230751,14421,medium
50,67,994111,258743,high
33,69,542112,173408,high
28,63,542727,34677,medium
42,69,65409,591086,low
27,67,497248,593706,high
24,66,92591,583816,medium
47,75,617744,590397,low
47,61,412835,423746,low
41,73,438495,456295,low
42,63,944250,544184,low
24,74,420520,240123,medium
23,68,200530,256218,high
47,75,390174,575978,medium
40,75,42425,257216,low
44,64,455824,197993,high
25,65,269724,314742,medium
46,63,232850,180870,medium
50,60,472176,547480,medium
43,70,953355,209748,high
26,74,20046,561369,low
26,70,400129,387834,low
19,61,182856,361420,medium
26,74,963895,173237,low
36,74,773024,362907,low
46,62,898402,118510,low
28,66,572514,299419,high
26,63,250157,64330,low
19,73,449132,188818,medium
44,66,864759,91302,high
39,73,976435,68579,low
26,61,466703,122905,medium
22,65,477902,96538,medium
39,64,108850,498182,high
27,70,500824,157960,medium
50,70,362437,250464,high
38,64,929301,572434,high
36,64,387857,345933,medium
40,69,897665,488802,medium
45,70,786869,373276,low
35,73,167685,327727,medium
50,60,635053,43457,high
36,71,48527,404681,high
20,63,883222,228797,medium
45,69,971470,20538,medium
45,67,249510,19451,high
33,75,424800,408315,high
22,69,155850,580370,low
45,71,928931,393598,low
23,73,849001,447697,low
21,75,882199,541172,low
40,67,247484,173036,low
25,69,360192,347918,low
39,73,781678,563315,low
20,62,220709,398285,medium
21,63,512903,488633,low
38,67,804748,214652,low
24,68,523909,189581,low
37,63,771755,29981,medium
48,68,743322,231248,medium
49,60,778546,137919,low
24,75,109001,16328,high
18,65,104620,145418,low
28,66,367895,174313,low
35,73,433400,317312,high
42,65,551144,108989,low
43,69,558315,484156,high
31,70,112664,317427,high
20,66,583047,535614,low
34,63,304101,410790,high
29,70,496745,497215,medium
33,60,199581,369738,high
38,62,490628,255650,high
34,61,79782,348409,medium
41,74,939298,105190,low
27,63,313537,193382,low
40,66,601116,259326,low
49,64,749051,402422,medium
35,72,236169,160217,medium
46,64,872564,207655,high
50,60,588723,549412,low
43,63,994058,540328,low
39,62,894802,291820,low
38,63,707176,344798,low
47,69,533635,121532,high
34,65,40585,380435,medium
28,68,278689,504780,low
49,66,904636,171407,high
35,60,497825,512879,low
26,74,644155,389731,high
23,63,57894,315994,medium
30,71,800925,80960,low
28,67,236289,271703,high
32,63,426580,82052,low
50,73,882723,398927,medium
31,64,159704,262676,high
23,65,626586,213894,medium
41,73,947202,358851,medium
28,71,100683,90193,low
32,75,499116,22428,low
24,75,167005,139186,medium
19,72,129502,425599,medium
43,74,878525,259746,medium
30,75,390811,487637,high
26,69,996435,396772,medium
33,63,534854,598353,medium
34,65,476200,65342,high
43,68,757749,282431,medium
43,62,483576,483358,low
41,60,561369,544410,low
23,71,520295,435227,high
46,64,239630,205032,high
20,64,713536,187150,high
29,71,479185,492442,medium
43,69,137196,173653,low
43,68,738623,467361,medium
21,65,458517,376786,low
42,75,422346,104209,high
33,74,270825,480547,low
49,64,320152,228181,low
24,72,782119,416159,low
48,69,812132,206717,medium
49,65,686982,36061,low
26,65,977432,322288,high
33,61,965805,455605,medium
22,73,662391,356001,low
33,66,804407,238961,medium
44,68,888902,473124,low
41,71,876513,350597,medium
23,74,527864,151419,medium
44,71,187196,552716,high
45,70,266317,155080,low
44,69,126313,585746,medium
28,64,523223,501024,medium
47,62,104019,281259,low
28,65,132057,155456,high
22,67,195662,406237,medium
42,71,696689,583943,high
43,73,44823,137350,low
31,75,993041,82217,high
43,64,655541,53309,low
34,74,823531,512098,high
47,73,198900,472110,high
48,69,597178,123688,high
32,75,665736,590813,high
18,70,326145,462477,medium
42,67,35153,20405,low
22,66,255284,405674,low
24,66,717831,338507,medium
24,73,77996,459797,high
41,70,697318,425715,medium
39,67,375903,414905,low
41,70,627344,383998,high
39,75,661068,14002,medium
41,72,990317,342871,low
43,75,57668,233888,medium
45,63,857873,579525,medium
20,64,947802,588573,high
37,65,683416,585441,low
43,65,541439,144757,high
34,65,9793,40418,high
19,63,828796,471486,medium
41,72,576118,574327,high
49,70,850882,315019,high
39,70,992462,69426,high
33,63,934821,386821,medium
23,63,589505,454408,medium
27,68,827280,384563,medium
22,63,739174,447585,high
44,62,589638,596040,low
45,65,948313,459788,medium
47,61,571008,298885,low
29,68,869600,587837,high
49,75,340967,59104,medium
23,63,229060,499042,medium
25,74,974452,361791,low
48,60,450743,555954,medium
43,65,102090,71288,high
36,70,231699,447752,medium
24,70,299148,54530,low
45,65,293317,539199,low
30,70,900924,109695,medium
35,69,89799,327292,medium
22,74,551649,472748,medium
24,71,451477,70009,high
38,70,494438,506788,medium
39,60,61726,171732,medium
22,62,372729,183105,low
46,71,5283,52425,low
37,64,410580,355082,low
23,69,122067,393426,low
45,66,171522,99704,medium
23,62,784495,215183,medium
28,64,937270,321341,high
45,70,811923,389205,medium
23,64,962603,243314,high
30,65,54705,361514,low
33,61,945913,72466,high
18,62,679207,97499,low
40,63,585715,514381,medium
48,75,317491,371818,low
29,68,498051,409501,high
37,62,357740,190171,low
49,72,870972,501088,low
39,65,715941,214651,high
40,69,765039,278246,medium
28,63,925957,211619,low
21,62,940755,53684,high
26,68,286538,43960,medium
26,60,503204,105612,medium
23,61,502940,121734,high
38,73,835837,503366,low
39,75,792407,193383,medium
42,71,228924,577108,high
20,71,606233,330162,high
26,70,838997,133528,low
22,62,440585,290857,low
26,65,331631,317833,low
28,61,562195,521220,high
28,75,26723,551344,medium
37,61,8223,403810,medium
21,70,384207,234743,medium
33,67,498244,54238,high
41,72,93861,152306,medium
40,63,823064,477048,high
22,69,803391,440379,low
45,73,479196,414592,low
28,61,82299,263608,high
